Log,cp_temperature,mixer_temperature_Funnel_outlet,ac_flowrate,cp_pressure,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_pressure,mixer_motor_temperature_M1,mixer_torque_M1,mixer_motor_temperature_M2,mixer_torque_M2,mixer_temperature_Funnel,mixer_speed_M1,Time
66,0.0,28.5,51.8,0.605,1.5,119.499,27.7,0.284,31.6,3.549,34.5,3.172,25.3,119.499,11:21:11.669
67,0.0,26.4,51.8,0.659,1.5,120.199,27.7,0.233,31.6,3.587,34.5,3.738,25.3,120.199,11:21:12.767
68,0.0,28.5,51.8,0.64,1.5,119.884,27.7,0.345,31.8,3.625,34.5,3.889,25.3,119.884,11:21:13.876
69,0.0,26.4,51.8,0.601,1.5,120.177,29.2,0.298,31.8,3.738,34.7,3.21,25.3,120.177,11:21:14.981
70,0.0,26.4,51.8,0.634,1.5,120.071,27.7,0.284,32.2,2.945,34.5,3.965,26.8,120.071,11:21:16.089
71,0.0,28.5,51.8,0.635,1.5,119.615,29.2,0.271,31.6,4.191,34.7,4.116,25.3,119.615,11:21:17.192
72,0.0,26.4,51.8,0.608,1.5,119.784,27.7,0.259,31.8,3.625,34.5,3.549,25.3,119.784,11:21:18.301
73,0.0,28.5,51.8,0.616,1.5,120.026,27.8,0.28,31.6,4.229,34.7,4.229,25.3,120.026,11:21:19.404
74,0.0,26.4,51.8,0.619,1.5,119.597,29.2,0.341,31.6,4.116,34.5,3.814,25.3,119.597,11:21:20.510
75,0.0,26.4,51.8,0.653,1.5,119.877,27.8,0.28,31.4,2.983,34.5,3.172,26.8,119.877,11:21:21.613
76,0.0,28.5,51.8,0.598,1.5,121.003,27.8,0.321,32.0,3.549,34.5,2.945,25.3,121.003,11:21:22.717
77,0.0,26.4,51.8,0.597,1.5,120.067,27.8,0.289,31.6,3.474,34.5,4.116,25.3,120.067,11:21:23.824
78,0.0,28.5,51.8,0.616,1.5,120.718,27.8,0.305,32.6,3.625,34.5,3.096,25.3,120.718,11:21:24.927
79,0.0,26.4,51.8,0.592,1.5,120.593,29.2,0.375,31.8,3.285,34.7,3.361,25.3,120.593,11:21:26.034
80,0.0,26.4,51.8,0.692,1.5,119.19,27.8,0.275,31.4,4.003,34.7,4.267,25.3,119.19,11:21:27.146
81,0.0,28.5,51.8,0.626,1.5,119.444,27.8,0.254,32.0,3.663,34.7,2.53,25.3,119.444,11:21:28.251
82,0.0,26.4,51.8,0.605,1.5,120.364,27.8,0.261,31.4,3.512,34.5,3.852,25.3,120.364,11:21:29.365
83,0.0,26.4,51.8,0.635,1.5,120.027,27.8,0.313,31.6,3.625,34.5,3.323,26.8,120.027,11:21:30.470
84,0.0,26.4,51.8,0.651,1.5,120.037,29.2,0.293,32.0,2.719,34.9,3.965,25.3,120.037,11:21:31.573
85,0.0,26.4,51.8,0.63,1.5,120.149,27.8,0.31,32.4,3.059,34.5,3.625,26.8,120.149,11:21:32.674
86,0.0,28.5,51.8,0.602,1.5,120.248,27.8,0.314,31.4,3.7,34.9,3.398,25.3,120.248,11:21:33.780
87,0.0,26.4,51.8,0.576,1.5,119.82,29.2,0.319,32.0,3.549,34.7,3.549,25.3,119.82,11:21:34.885
88,0.0,26.4,51.8,0.667,1.5,120.781,27.8,0.326,32.0,3.134,34.5,3.323,26.8,120.781,11:21:35.993
89,0.0,26.4,51.8,0.635,1.5,120.395,29.2,0.319,32.0,2.794,34.7,4.456,25.3,120.395,11:21:37.095
90,0.0,26.4,51.8,0.641,1.5,120.063,27.8,0.273,31.4,3.436,34.9,4.418,26.8,120.063,11:21:38.199
91,0.0,28.5,51.8,0.66,1.5,120.169,29.2,0.286,32.0,3.436,34.7,3.323,25.3,120.169,11:21:39.302
92,0.0,26.4,51.8,0.648,1.5,120.113,29.2,0.303,32.0,3.474,34.5,4.116,25.3,120.113,11:21:40.426
93,0.0,26.4,51.8,0.605,1.5,120.54,27.8,0.289,32.0,3.474,34.5,3.776,26.8,120.54,11:21:41.534
94,0.0,28.5,51.8,0.613,1.5,119.601,27.8,0.288,32.0,2.87,34.5,4.267,25.3,119.601,11:21:42.639
95,0.0,26.4,51.8,0.64,1.5,120.079,27.8,0.313,32.0,3.474,34.9,2.87,25.4,120.079,11:21:43.746
96,0.0,26.4,51.8,0.649,1.5,119.977,27.8,0.289,31.1,3.549,34.7,3.512,25.3,119.977,11:21:44.852
97,0.0,28.5,51.8,0.669,1.5,120.155,29.2,0.283,31.6,3.587,34.5,5.098,25.3,120.155,11:21:45.959
98,0.0,26.4,51.8,0.61,1.5,120.537,27.8,0.338,32.2,2.794,34.5,4.003,25.4,120.537,11:21:47.068
99,0.0,26.4,51.8,0.635,1.5,120.875,27.8,0.303,31.6,2.87,34.7,3.512,26.8,120.875,11:21:48.192
100,0.0,28.5,51.8,0.641,1.5,119.599,29.2,0.281,32.0,3.889,35.3,3.134,25.3,119.599,11:21:49.301
101,0.0,26.4,51.8,0.619,1.5,119.895,27.8,0.31,31.8,3.889,34.5,4.116,26.8,119.895,11:21:50.403
102,0.0,26.4,51.8,0.592,1.5,119.794,27.8,0.338,32.0,3.776,34.7,3.889,25.3,119.794,11:21:51.523
103,0.0,28.4,51.8,0.601,1.5,120.887,29.2,0.326,32.2,2.492,34.5,3.738,25.3,120.887,11:21:52.627
104,0.0,26.4,51.8,0.621,1.5,120.939,27.8,0.242,31.6,3.474,34.9,2.832,26.8,120.939,11:21:53.735
105,0.0,28.4,51.8,0.638,1.5,119.905,27.8,0.313,30.9,3.7,34.9,3.965,25.4,119.905,11:21:54.844
106,0.0,28.4,51.8,0.688,1.5,119.244,29.2,0.293,32.0,4.833,34.9,3.814,25.3,119.244,11:21:55.963
107,0.0,26.4,51.8,0.624,1.5,120.233,27.8,0.288,32.2,2.983,34.5,3.776,26.8,120.233,11:21:57.066
108,0.0,28.4,51.8,0.625,1.5,119.892,29.2,0.36,32.2,2.908,35.1,4.305,25.3,119.892,11:21:58.167
109,0.0,26.4,51.8,0.626,1.5,119.79,27.8,0.295,31.6,3.852,34.5,3.361,25.3,119.79,11:21:59.269
110,0.0,26.4,51.8,0.654,1.5,119.372,27.8,0.31,31.8,3.927,34.5,3.7,25.3,119.372,11:22:00.377
111,0.0,26.4,51.8,0.663,1.5,120.034,29.2,0.295,31.4,3.7,34.7,3.663,25.4,120.034,11:22:01.483
112,0.0,26.4,51.8,0.636,1.5,121.596,27.8,0.264,32.6,2.719,34.7,3.474,26.8,121.596,11:22:02.590
113,0.0,26.4,51.8,0.643,1.5,120.0,27.8,0.271,32.0,3.7,34.9,3.512,25.3,120.0,11:22:03.710
114,0.0,28.4,51.8,0.602,1.5,119.888,29.2,0.25,31.6,3.436,34.9,3.663,25.4,119.888,11:22:04.816
115,0.0,26.4,51.8,0.612,1.5,119.528,27.8,0.316,32.4,3.738,34.7,3.361,26.8,119.528,11:22:05.918
116,0.0,28.5,51.8,0.612,1.5,119.789,29.2,0.308,32.6,3.436,34.7,4.191,25.4,119.789,11:22:07.023
117,0.0,26.4,51.8,0.688,1.5,119.788,27.8,0.294,31.6,2.266,34.9,3.965,25.4,119.788,11:22:08.129
118,0.0,26.4,51.8,0.643,1.5,119.702,27.8,0.222,32.0,3.059,34.9,3.021,25.4,119.702,11:22:09.241
119,0.0,28.4,51.8,0.629,1.5,120.493,29.2,0.288,31.6,3.436,34.5,3.587,25.4,120.493,11:22:10.347
120,0.0,26.4,51.8,0.531,1.5,120.695,27.8,0.328,32.0,4.229,34.9,3.814,25.4,120.695,11:22:11.466
121,0.0,26.4,51.8,0.676,1.5,119.858,27.8,0.313,31.8,3.172,34.9,4.305,25.4,119.858,11:22:12.573
122,0.0,28.4,51.8,0.649,1.5,120.779,29.2,0.256,31.6,3.21,34.9,3.285,25.4,120.779,11:22:13.692
123,0.0,26.3,51.8,0.673,1.5,119.748,27.8,0.281,32.0,4.116,34.5,3.323,26.8,119.748,11:22:14.795
124,0.0,26.4,51.8,0.658,1.5,119.79,27.8,0.259,31.4,3.776,35.1,4.003,25.4,119.79,11:22:15.900
125,0.0,26.3,51.8,0.63,1.5,119.643,27.8,0.294,32.6,3.927,34.9,3.663,25.4,119.643,11:22:17.003
126,0.0,26.4,51.8,0.615,1.5,119.561,27.8,0.347,32.0,2.454,34.5,3.512,26.8,119.561,11:22:18.125
127,0.0,26.4,51.8,0.66,1.5,120.121,27.8,0.245,31.6,4.04,34.9,3.172,25.4,120.121,11:22:19.231
128,0.0,28.4,51.8,0.629,1.5,120.456,29.3,0.289,31.6,3.247,34.9,3.852,25.4,120.456,11:22:20.350
129,0.0,26.4,51.8,0.631,1.5,119.824,27.8,0.271,31.6,3.889,34.5,3.889,26.8,119.824,11:22:21.460
130,0.0,26.4,51.8,0.712,1.5,119.949,29.3,0.291,31.8,3.059,34.5,3.889,25.4,119.949,11:22:22.563
131,0.0,26.4,51.8,0.635,1.5,119.71,27.8,0.294,31.4,3.247,34.7,3.021,25.4,119.71,11:22:23.674
132,0.0,26.4,51.8,0.643,1.5,120.085,27.8,0.259,32.2,3.549,34.9,3.323,25.4,120.085,11:22:24.772
133,0.0,28.4,51.8,0.668,1.5,119.57,29.3,0.259,32.0,3.361,34.7,4.267,25.4,119.57,11:22:25.880
134,0.0,26.3,51.8,0.641,1.5,119.943,27.9,0.251,32.0,3.625,34.9,2.983,26.9,119.943,11:22:26.987
135,0.0,26.3,51.8,0.641,1.5,120.49,27.9,0.284,32.2,2.719,34.9,3.776,25.4,120.49,11:22:28.109
136,0.0,28.4,51.8,0.654,1.5,119.578,29.3,0.305,31.8,4.418,34.5,3.474,25.4,119.578,11:22:29.211
137,0.0,26.3,51.8,0.597,1.5,119.772,27.9,0.269,31.6,3.587,34.7,3.927,26.9,119.772,11:22:30.322
138,0.0,26.3,51.8,0.621,1.5,119.802,27.9,0.3,32.0,4.38,34.7,3.398,25.4,119.802,11:22:31.430
139,0.0,28.4,51.8,0.671,1.5,120.823,29.3,0.3,32.6,3.587,34.9,3.927,25.4,120.823,11:22:32.547
140,0.0,26.3,51.8,0.643,1.5,119.551,27.9,0.269,31.6,3.436,34.9,4.078,26.9,119.551,11:22:33.652
141,0.0,28.4,51.8,0.612,1.5,120.092,29.3,0.269,32.4,3.663,34.9,2.794,25.4,120.092,11:22:34.755
142,0.0,26.3,51.8,0.605,1.5,119.862,27.9,0.341,31.6,3.7,34.9,3.776,25.4,119.862,11:22:35.860
143,0.0,26.3,51.8,0.592,1.5,119.994,27.9,0.332,31.6,4.191,34.7,3.361,25.4,119.994,11:22:36.976
144,0.0,28.4,51.8,0.646,1.5,120.156,29.3,0.345,31.8,3.398,34.5,4.116,25.4,120.156,11:22:38.081
145,0.0,26.3,51.8,0.631,1.5,120.029,27.9,0.281,31.8,3.663,35.1,3.587,25.4,120.029,11:22:39.189
146,0.0,26.3,51.8,0.646,1.5,120.262,27.9,0.276,32.0,4.116,34.9,3.398,25.4,120.262,11:22:40.297
