Log,ac_flowrate,mixer_torque_M1,mixer_torque_M2,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_speed_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,cp_pressure,mixer_speed_M1,Time
128,0.0,2.832,2.908,26.2,1.5,0.256,23.6,120.001,22.3,19.5,0.438,120.102,12:19:59.783
129,0.0,2.341,2.832,24.7,1.5,0.204,25.1,120.84,22.3,19.8,0.443,120.84,12:20:00.887
130,0.0,3.134,2.605,24.8,1.5,0.242,25.1,120.399,22.3,20.0,0.45,120.399,12:20:02.016
131,0.0,3.247,3.587,26.2,1.5,0.212,23.6,120.024,22.0,19.8,0.47,120.024,12:20:03.125
132,0.0,3.059,3.776,24.8,1.5,0.256,23.6,120.154,21.8,20.4,0.443,120.154,12:20:04.251
133,0.0,2.266,3.134,24.8,1.5,0.286,25.1,120.543,22.3,20.4,0.443,120.543,12:20:05.358
134,0.0,2.794,2.794,24.8,1.5,0.242,23.6,119.535,22.0,20.7,0.476,119.535,12:20:06.471
135,0.0,2.53,3.398,26.2,1.5,0.248,23.6,120.046,22.3,19.8,0.446,120.046,12:20:07.596
136,0.0,3.172,3.512,26.2,1.5,0.266,23.6,119.625,22.0,20.4,0.474,119.625,12:20:08.716
137,0.0,3.323,3.172,24.8,1.5,0.245,25.1,120.471,21.8,20.0,0.47,120.471,12:20:09.825
138,0.0,2.266,3.398,26.2,1.5,0.247,23.6,119.995,22.0,20.2,0.454,119.995,12:20:10.932
139,0.0,2.605,3.21,24.8,1.5,0.232,23.6,121.061,21.6,20.4,0.441,121.061,12:20:12.037
140,0.0,3.21,3.323,24.8,1.5,0.265,23.6,120.09,22.0,20.4,0.463,120.09,12:20:13.144
141,0.0,2.945,3.21,26.2,1.5,0.314,23.6,120.033,21.8,20.7,0.426,120.033,12:20:14.265
142,0.0,2.832,2.794,24.8,1.5,0.247,23.6,119.949,21.8,20.4,0.465,119.949,12:20:15.372
143,0.0,3.625,3.625,24.8,1.5,0.247,23.6,119.82,22.3,19.5,0.465,119.82,12:20:16.490
144,0.0,2.417,3.436,26.3,1.5,0.266,23.6,119.953,22.3,19.8,0.468,119.953,12:20:17.599
145,0.0,3.172,3.361,24.8,1.5,0.284,23.6,119.993,22.3,20.0,0.45,119.993,12:20:18.705
146,0.0,3.059,3.398,24.8,1.5,0.281,23.6,120.866,22.3,20.2,0.469,120.866,12:20:19.814
147,0.0,2.908,3.247,26.3,1.5,0.254,23.6,119.723,22.0,20.4,0.529,119.723,12:20:20.919
148,0.0,2.492,2.152,24.8,1.5,0.236,25.1,119.883,21.6,20.7,0.448,119.883,12:20:22.028
149,0.0,3.323,3.549,24.8,1.5,0.284,23.6,119.715,22.3,20.4,0.496,119.715,12:20:23.156
150,0.0,3.059,2.681,26.3,1.5,0.259,23.6,119.711,22.3,20.2,0.477,119.711,12:20:24.279
151,0.0,3.059,3.625,24.8,1.5,0.256,23.7,119.621,22.0,20.4,0.472,119.621,12:20:25.385
